Date,Last
2021-10-06,33000
2021-10-07,33480
2021-10-08,33400
2021-10-11,33330
2021-10-12,32520
2021-10-13,33180
2021-10-14,34380
2021-10-15,34560
2021-10-19,34130
2021-10-20,34230
2021-10-21,34040
2021-10-22,33460
2021-10-25,34200
2021-10-26,34500
2021-10-27,34450
2021-10-28,34490
2021-10-29,33680
2021-11-02,34000
2021-11-03,34000
2021-11-04,33400
2021-11-05,33460
2021-11-08,33480
2021-11-09,32880
2021-11-10,32210
2021-11-11,32200
2021-11-12,32160
2021-11-16,31100
2021-11-17,30600
2021-11-18,30900
2021-11-19,30000
2021-11-22,30290
2021-11-23,30300
2021-11-24,30500
2021-11-25,30550
2021-11-26,30050
2021-11-29,30400
2021-11-30,32370
2021-12-01,34500
2021-12-02,35880
2021-12-03,35000
2021-12-06,34510
2021-12-07,32300
2021-12-09,32600
2021-12-10,32220
2021-12-13,31550
2021-12-14,31510
2021-12-15,32590
2021-12-16,34000
2021-12-17,34160
2021-12-20,33700
2021-12-21,32500
2021-12-22,33680
2021-12-23,33000
2021-12-24,33380
2021-12-27,32960
2021-12-28,33290
2021-12-29,34700
2021-12-30,34700
2022-01-03,34500
2022-01-04,34840
2022-01-05,34000
2022-01-06,33860
2022-01-07,34200
2022-01-11,34800
2022-01-12,35380
2022-01-13,37600
2022-01-14,36480
2022-01-17,38310
2022-01-18,42050
2022-01-19,42200
2022-01-20,40300
2022-01-21,38850
2022-01-24,40000
2022-01-25,39800
2022-01-26,39000
2022-01-27,39100
2022-01-28,39610
2022-01-31,39500
2022-02-01,39010
2022-02-02,39200
2022-02-03,39000
2022-02-04,38990
2022-02-07,38900
2022-02-08,37830
2022-02-09,37970
2022-02-10,36380
2022-02-11,36700
2022-02-14,37500
2022-02-15,37990
2022-02-16,38120
2022-02-17,37920
2022-02-18,37060
2022-02-21,37290
2022-02-22,36900
2022-02-23,38570
2022-02-24,38990
2022-02-25,39240
2022-02-28,39040
2022-03-01,39890
2022-03-02,39850
2022-03-03,39990
2022-03-04,40000
2022-03-07,39600
2022-03-08,39000
2022-03-09,39080
2022-03-10,39300
2022-03-11,39180
2022-03-14,38310
2022-03-15,38200
2022-03-16,38850
2022-03-17,39100
2022-03-18,39670
2022-03-22,40110
